Hours_Studied,Review_Session,Results
3.745401188473625,0,0
9.50714306409916,1,1
7.319939418114051,0,1
5.986584841970366,0,1
1.5601864044243652,1,1
1.5599452033620265,0,0
0.5808361216819946,1,0
8.661761457749352,1,1
6.011150117432088,1,1
7.080725777960454,0,1
0.20584494295802447,0,0
9.699098521619943,0,1
8.324426408004218,0,1
2.1233911067827616,0,0
1.8182496720710062,0,0
1.8340450985343382,0,0
3.0424224295953772,1,0
5.247564316322379,0,1
4.319450186421157,1,1
2.9122914019804194,0,0
6.118528947223795,0,1
1.3949386065204183,0,0
2.9214464853521815,1,1
3.663618432936917,1,1
4.56069984217036,1,1
7.851759613930136,1,1
1.9967378215835974,0,0
5.142344384136116,1,1
5.924145688620425,0,1
0.46450412719997725,0,0
6.075448519014383,1,1
1.7052412368729153,1,1
0.6505159298527952,1,0
9.488855372533333,1,1
9.656320330745594,1,1
8.08397348116461,1,1
3.0461376917337066,1,1
0.9767211400638387,1,0
6.842330265121569,0,1
4.4015249373960135,1,1
1.2203823484477883,1,0
4.951769101112702,0,1
0.34388521115218396,1,1
9.093204020787821,0,1
2.587799816000169,0,0
6.62522284353982,1,1
3.1171107608941098,0,0
5.200680211778108,0,1
5.4671027934327965,0,1
1.8485445552552704,0,0
9.695846277645586,1,1
7.7513282336111455,0,1
9.394989415641891,1,1
8.948273504276488,0,1
5.978999788110851,0,1
9.218742350231167,0,1
0.884925020519195,0,0
1.959828624191452,1,0
0.45227288910538066,1,0
3.2533033076326436,0,0
3.8867728968948203,0,1
2.713490317738959,1,1
8.287375091519294,0,1
3.567533266935893,0,1
2.8093450968738076,0,0
5.426960831582485,1,1
1.4092422497476265,1,1
8.021969807540398,1,1
0.7455064367977082,0,0
9.868869366005173,0,1
7.722447692966574,1,1
1.987156815341724,1,1
0.05522117123602399,1,0
8.154614284548341,1,1
7.068573438476172,0,1
7.2900716804098735,1,1
7.712703466859457,0,1
0.7404465173409036,1,0
3.5846572854427263,0,1
1.1586905952512971,1,0
8.631034258755935,1,1
6.232981268275579,1,1
3.308980248526492,1,1
0.6355835028602363,0,0
3.109823217156622,1,1
3.2518332202674705,0,0
7.29606178338064,0,1
6.3755747135521315,0,1
8.872127425763265,0,1
4.722149251619493,1,1
1.195942459383017,0,0
7.13244787222995,0,1
7.607850486168974,0,1
5.612771975694963,1,1
7.70967179954561,1,1
4.937955963643907,1,1
5.227328293819941,1,1
4.275410183585496,0,1
0.2541912674409519,0,0
1.0789142699330445,1,0
